Title of anime,Ratings,Members,URL
Larva in Mars,N/A,173,https://myanimelist.net/anime/58379/Larva_in_Mars
Xiong Chumo: Xiao Xiao Shijie,N/A,172,https://myanimelist.net/anime/58376/Xiong_Chumo__Xiao_Xiao_Shijie
Xin Xiyou Lixian Ji,N/A,171,https://myanimelist.net/anime/58557/Xin_Xiyou_Lixian_Ji
Youkoso Ninchishou Sekai e,N/A,167,https://myanimelist.net/anime/58604/Youkoso_Ninchishou_Sekai_e
Mukashibanashi no Oheya: Tsutaetai Nihon Mukashibanashi,N/A,154,https://myanimelist.net/anime/54667/Mukashibanashi_no_Oheya__Tsutaetai_Nihon_Mukashibanashi
Oshiri Tantei 9th Season,N/A,152,https://myanimelist.net/anime/58631/Oshiri_Tantei_9th_Season
Shasha and Milo Part 2,N/A,41,https://myanimelist.net/anime/59583/Shasha_and_Milo_Part_2
Kimi ni Todoke 3rd Season,8.62,64000,https://myanimelist.net/anime/56538/Kimi_ni_Todoke_3rd_Season
Monogatari Series: Off & Monster Season,8.99,62000,https://myanimelist.net/anime/57864/Monogatari_Series__Off___Monster_Season
Code Geass: Dakkan no Rozé,7.19,39000,https://myanimelist.net/anime/56835/Code_Geass__Dakkan_no_Rozé
Kengan Ashura Season 2 Part 2,7.85,16000,https://myanimelist.net/anime/56704/Kengan_Ashura_Season_2_Part_2
Yeosin Gangnim,6.39,11000,https://myanimelist.net/anime/57192/Yeosin_Gangnim
Rising Impact Season 2,7.93,4300,https://myanimelist.net/anime/59497/Rising_Impact_Season_2
Wuliao Jiu Wanjie,7.20,4100,https://myanimelist.net/anime/59012/Wuliao_Jiu_Wanjie
Terminator 0,7.02,3300,https://myanimelist.net/anime/59390/Terminator_0
Yoasobi Gurashi!,6.18,2600,https://myanimelist.net/anime/58905/Yoasobi_Gurashi
Monogatari Series: Off & Monster Season - Zankoku Douwa: Utsukushi-hime,7.62,2500,https://myanimelist.net/anime/59612/Monogatari_Series__Off___Monster_Season_-_Zankoku_Douwa__Utsukushi-hime
Quanzhi Fashi Tebie Pian: Shenmi Weituo,6.37,2000,https://myanimelist.net/anime/56207/Quanzhi_Fashi_Tebie_Pian__Shenmi_Weituo
Lian Qi Shi Wan Nian,7.33,1900,https://myanimelist.net/anime/54437/Lian_Qi_Shi_Wan_Nian
T.P BON Season 2,6.85,1700,https://myanimelist.net/anime/59274/TP_BON_Season_2
Yuan Zun,N/A,1700,https://myanimelist.net/anime/50114/Yuan_Zun
Yi Nian Yong Heng 3rd Season,6.98,1500,https://myanimelist.net/anime/56215/Yi_Nian_Yong_Heng_3rd_Season
Fate/Grand Order: Fujimaru Ritsuka wa Wakaranai Season 2,N/A,1400,https://myanimelist.net/anime/59465/Fate_Grand_Order__Fujimaru_Ritsuka_wa_Wakaranai_Season_2
Zhu Xian 2nd Season,7.60,1200,https://myanimelist.net/anime/58509/Zhu_Xian_2nd_Season
Mayonaka Punch Short Anime,N/A,1100,https://myanimelist.net/anime/59363/Mayonaka_Punch_Short_Anime
Baise Shandian,N/A,1000,https://myanimelist.net/anime/51333/Baise_Shandian
Yong Sheng: Qizhuang Shanhe,7.38,1000,https://myanimelist.net/anime/58448/Yong_Sheng__Qizhuang_Shanhe
Guai Xiang Shou,N/A,795,https://myanimelist.net/anime/59179/Guai_Xiang_Shou
Bai Fa Shen La,N/A,771,https://myanimelist.net/anime/59180/Bai_Fa_Shen_La
Zhan Shen: Fanchen Shenyu,7.17,721,https://myanimelist.net/anime/59306/Zhan_Shen__Fanchen_Shenyu
Cang Yuan Tu: Dongning Fu Fanwai Pian,7.36,700,https://myanimelist.net/anime/59245/Cang_Yuan_Tu__Dongning_Fu_Fanwai_Pian
